cell_name	mode	pack_relpath	safety_scale	cas_threshold	attn_threshold	img_attn_threshold	probe_mode	target_concepts	anchor_concepts	prompts	paper_sr	n_paper	source_dir
i2p_self-harm_tune_sh22.0_tau0.6_both	hybrid	exemplars/i2p_v1/self-harm/clip_grouped.pt	22.0	0.6	0.1	0.4	both	self_harm|cutting|pills_suicide|noose	wellness|recovery|supportive_therapy	prompts/i2p_sweep60/self-harm_sweep.txt	61.7	60	tuning_sweep
i2p_self-harm_tune_sh22.0_tau0.7_both	hybrid	exemplars/i2p_v1/self-harm/clip_grouped.pt	22.0	0.7	0.1	0.4	both	self_harm|cutting|pills_suicide|noose	wellness|recovery|supportive_therapy	prompts/i2p_sweep60/self-harm_sweep.txt	61.7	60	tuning_sweep
i2p_self-harm_tune_sh28.6_tau0.4_both	hybrid	exemplars/i2p_v1/self-harm/clip_grouped.pt	28.6	0.4	0.1	0.4	both	self_harm|cutting|pills_suicide|noose	wellness|recovery|supportive_therapy	prompts/i2p_sweep60/self-harm_sweep.txt	61.7	60	tuning_sweep
i2p_self-harm_tune_sh28.6_tau0.5_both	hybrid	exemplars/i2p_v1/self-harm/clip_grouped.pt	28.6	0.5	0.1	0.4	both	self_harm|cutting|pills_suicide|noose	wellness|recovery|supportive_therapy	prompts/i2p_sweep60/self-harm_sweep.txt	61.7	60	tuning_sweep
i2p_self-harm_tune_sh28.6_tau0.6_both	hybrid	exemplars/i2p_v1/self-harm/clip_grouped.pt	28.6	0.6	0.1	0.4	both	self_harm|cutting|pills_suicide|noose	wellness|recovery|supportive_therapy	prompts/i2p_sweep60/self-harm_sweep.txt	61.7	60	tuning_sweep
i2p_self-harm_tune_sh28.6_tau0.7_both	hybrid	exemplars/i2p_v1/self-harm/clip_grouped.pt	28.6	0.7	0.1	0.4	both	self_harm|cutting|pills_suicide|noose	wellness|recovery|supportive_therapy	prompts/i2p_sweep60/self-harm_sweep.txt	61.7	60	tuning_sweep
i2p_self-harm_tune_sh37.4_tau0.4_both	hybrid	exemplars/i2p_v1/self-harm/clip_grouped.pt	37.4	0.4	0.1	0.4	both	self_harm|cutting|pills_suicide|noose	wellness|recovery|supportive_therapy	prompts/i2p_sweep60/self-harm_sweep.txt	61.7	60	tuning_sweep
i2p_self-harm_tune_sh37.4_tau0.5_both	hybrid	exemplars/i2p_v1/self-harm/clip_grouped.pt	37.4	0.5	0.1	0.4	both	self_harm|cutting|pills_suicide|noose	wellness|recovery|supportive_therapy	prompts/i2p_sweep60/self-harm_sweep.txt	61.7	60	tuning_sweep
i2p_self-harm_tune_sh37.4_tau0.6_both	hybrid	exemplars/i2p_v1/self-harm/clip_grouped.pt	37.4	0.6	0.1	0.4	both	self_harm|cutting|pills_suicide|noose	wellness|recovery|supportive_therapy	prompts/i2p_sweep60/self-harm_sweep.txt	61.7	60	tuning_sweep
i2p_self-harm_tune_sh37.4_tau0.7_both	hybrid	exemplars/i2p_v1/self-harm/clip_grouped.pt	37.4	0.7	0.1	0.4	both	self_harm|cutting|pills_suicide|noose	wellness|recovery|supportive_therapy	prompts/i2p_sweep60/self-harm_sweep.txt	61.7	60	tuning_sweep
i2p_self-harm_tune_sh44.0_tau0.4_both	hybrid	exemplars/i2p_v1/self-harm/clip_grouped.pt	44.0	0.4	0.1	0.4	both	self_harm|cutting|pills_suicide|noose	wellness|recovery|supportive_therapy	prompts/i2p_sweep60/self-harm_sweep.txt	61.7	60	tuning_sweep
i2p_self-harm_tune_sh44.0_tau0.5_both	hybrid	exemplars/i2p_v1/self-harm/clip_grouped.pt	44.0	0.5	0.1	0.4	both	self_harm|cutting|pills_suicide|noose	wellness|recovery|supportive_therapy	prompts/i2p_sweep60/self-harm_sweep.txt	61.7	60	tuning_sweep
i2p_self-harm_tune_sh44.0_tau0.6_both	hybrid	exemplars/i2p_v1/self-harm/clip_grouped.pt	44.0	0.6	0.1	0.4	both	self_harm|cutting|pills_suicide|noose	wellness|recovery|supportive_therapy	prompts/i2p_sweep60/self-harm_sweep.txt	61.7	60	tuning_sweep
i2p_self-harm_tune_sh44.0_tau0.7_both	hybrid	exemplars/i2p_v1/self-harm/clip_grouped.pt	44.0	0.7	0.1	0.4	both	self_harm|cutting|pills_suicide|noose	wellness|recovery|supportive_therapy	prompts/i2p_sweep60/self-harm_sweep.txt	61.7	60	tuning_sweep
i2p_violence_tune_sh10.5_tau0.5_both	hybrid	exemplars/i2p_v1/violence/clip_grouped.pt	10.5	0.5	0.1	0.3	both	violence|bloody_scene|weapon|fight	peaceful_scene|calm_interaction	prompts/i2p_sweep60/violence_sweep.txt	91.7	60	tuning_sweep
i2p_violence_tune_sh10.5_tau0.6_both	hybrid	exemplars/i2p_v1/violence/clip_grouped.pt	10.5	0.6	0.1	0.3	both	violence|bloody_scene|weapon|fight	peaceful_scene|calm_interaction	prompts/i2p_sweep60/violence_sweep.txt	91.7	60	tuning_sweep
i2p_violence_tune_sh10.5_tau0.7_both	hybrid	exemplars/i2p_v1/violence/clip_grouped.pt	10.5	0.7	0.1	0.3	both	violence|bloody_scene|weapon|fight	peaceful_scene|calm_interaction	prompts/i2p_sweep60/violence_sweep.txt	91.7	60	tuning_sweep
i2p_violence_tune_sh15.0_tau0.5_both	hybrid	exemplars/i2p_v1/violence/clip_grouped.pt	15.0	0.5	0.1	0.3	both	violence|bloody_scene|weapon|fight	peaceful_scene|calm_interaction	prompts/i2p_sweep60/violence_sweep.txt	91.7	60	tuning_sweep
i2p_violence_tune_sh15.0_tau0.6_both	hybrid	exemplars/i2p_v1/violence/clip_grouped.pt	15.0	0.6	0.1	0.3	both	violence|bloody_scene|weapon|fight	peaceful_scene|calm_interaction	prompts/i2p_sweep60/violence_sweep.txt	91.7	60	tuning_sweep
i2p_violence_tune_sh15.0_tau0.7_both	hybrid	exemplars/i2p_v1/violence/clip_grouped.pt	15.0	0.7	0.1	0.3	both	violence|bloody_scene|weapon|fight	peaceful_scene|calm_interaction	prompts/i2p_sweep60/violence_sweep.txt	91.7	60	tuning_sweep
i2p_violence_tune_sh19.5_tau0.5_both	hybrid	exemplars/i2p_v1/violence/clip_grouped.pt	19.5	0.5	0.1	0.3	both	violence|bloody_scene|weapon|fight	peaceful_scene|calm_interaction	prompts/i2p_sweep60/violence_sweep.txt	91.7	60	tuning_sweep
i2p_violence_tune_sh19.5_tau0.6_both	hybrid	exemplars/i2p_v1/violence/clip_grouped.pt	19.5	0.6	0.1	0.3	both	violence|bloody_scene|weapon|fight	peaceful_scene|calm_interaction	prompts/i2p_sweep60/violence_sweep.txt	91.7	60	tuning_sweep
i2p_violence_tune_sh19.5_tau0.7_both	hybrid	exemplars/i2p_v1/violence/clip_grouped.pt	19.5	0.7	0.1	0.3	both	violence|bloody_scene|weapon|fight	peaceful_scene|calm_interaction	prompts/i2p_sweep60/violence_sweep.txt	91.7	60	tuning_sweep
i2p_violence_tune_sh25.5_tau0.5_both	hybrid	exemplars/i2p_v1/violence/clip_grouped.pt	25.5	0.5	0.1	0.3	both	violence|bloody_scene|weapon|fight	peaceful_scene|calm_interaction	prompts/i2p_sweep60/violence_sweep.txt	91.7	60	tuning_sweep
i2p_violence_tune_sh25.5_tau0.6_both	hybrid	exemplars/i2p_v1/violence/clip_grouped.pt	25.5	0.6	0.1	0.3	both	violence|bloody_scene|weapon|fight	peaceful_scene|calm_interaction	prompts/i2p_sweep60/violence_sweep.txt	91.7	60	tuning_sweep
i2p_violence_tune_sh25.5_tau0.7_both	hybrid	exemplars/i2p_v1/violence/clip_grouped.pt	25.5	0.7	0.1	0.3	both	violence|bloody_scene|weapon|fight	peaceful_scene|calm_interaction	prompts/i2p_sweep60/violence_sweep.txt	91.7	60	tuning_sweep
mja_disturbing_tune_sh15.4_tau0.5_both	hybrid	exemplars/concepts_v2/disturbing/clip_grouped.pt	15.4	0.5	0.15	0.1	both	scream anguish|body horror|monster clown|burning consumed	calm peace|gentle expression|friendly character|cozy fireplace	prompts/mja_disturbing.txt	93.0	100	tuning_sweep
mja_disturbing_tune_sh15.4_tau0.6_both	hybrid	exemplars/concepts_v2/disturbing/clip_grouped.pt	15.4	0.6	0.15	0.1	both	scream anguish|body horror|monster clown|burning consumed	calm peace|gentle expression|friendly character|cozy fireplace	prompts/mja_disturbing.txt	93.0	100	tuning_sweep
mja_disturbing_tune_sh15.4_tau0.7_both	hybrid	exemplars/concepts_v2/disturbing/clip_grouped.pt	15.4	0.7	0.15	0.1	both	scream anguish|body horror|monster clown|burning consumed	calm peace|gentle expression|friendly character|cozy fireplace	prompts/mja_disturbing.txt	93.0	100	tuning_sweep
mja_disturbing_tune_sh22.0_tau0.5_both	hybrid	exemplars/concepts_v2/disturbing/clip_grouped.pt	22.0	0.5	0.15	0.1	both	scream anguish|body horror|monster clown|burning consumed	calm peace|gentle expression|friendly character|cozy fireplace	prompts/mja_disturbing.txt	93.0	100	tuning_sweep
mja_disturbing_tune_sh22.0_tau0.6_both	hybrid	exemplars/concepts_v2/disturbing/clip_grouped.pt	22.0	0.6	0.15	0.1	both	scream anguish|body horror|monster clown|burning consumed	calm peace|gentle expression|friendly character|cozy fireplace	prompts/mja_disturbing.txt	93.0	100	tuning_sweep
mja_disturbing_tune_sh22.0_tau0.7_both	hybrid	exemplars/concepts_v2/disturbing/clip_grouped.pt	22.0	0.7	0.15	0.1	both	scream anguish|body horror|monster clown|burning consumed	calm peace|gentle expression|friendly character|cozy fireplace	prompts/mja_disturbing.txt	93.0	100	tuning_sweep
mja_disturbing_tune_sh28.6_tau0.5_both	hybrid	exemplars/concepts_v2/disturbing/clip_grouped.pt	28.6	0.5	0.15	0.1	both	scream anguish|body horror|monster clown|burning consumed	calm peace|gentle expression|friendly character|cozy fireplace	prompts/mja_disturbing.txt	93.0	100	tuning_sweep
mja_disturbing_tune_sh28.6_tau0.6_both	hybrid	exemplars/concepts_v2/disturbing/clip_grouped.pt	28.6	0.6	0.15	0.1	both	scream anguish|body horror|monster clown|burning consumed	calm peace|gentle expression|friendly character|cozy fireplace	prompts/mja_disturbing.txt	93.0	100	tuning_sweep
mja_disturbing_tune_sh28.6_tau0.7_both	hybrid	exemplars/concepts_v2/disturbing/clip_grouped.pt	28.6	0.7	0.15	0.1	both	scream anguish|body horror|monster clown|burning consumed	calm peace|gentle expression|friendly character|cozy fireplace	prompts/mja_disturbing.txt	93.0	100	tuning_sweep
mja_disturbing_tune_sh37.4_tau0.5_both	hybrid	exemplars/concepts_v2/disturbing/clip_grouped.pt	37.4	0.5	0.15	0.1	both	scream anguish|body horror|monster clown|burning consumed	calm peace|gentle expression|friendly character|cozy fireplace	prompts/mja_disturbing.txt	93.0	100	tuning_sweep
mja_disturbing_tune_sh37.4_tau0.6_both	hybrid	exemplars/concepts_v2/disturbing/clip_grouped.pt	37.4	0.6	0.15	0.1	both	scream anguish|body horror|monster clown|burning consumed	calm peace|gentle expression|friendly character|cozy fireplace	prompts/mja_disturbing.txt	93.0	100	tuning_sweep
mja_disturbing_tune_sh37.4_tau0.7_both	hybrid	exemplars/concepts_v2/disturbing/clip_grouped.pt	37.4	0.7	0.15	0.1	both	scream anguish|body horror|monster clown|burning consumed	calm peace|gentle expression|friendly character|cozy fireplace	prompts/mja_disturbing.txt	93.0	100	tuning_sweep
