concept	config_id	how_mode	cas_threshold	safety_scale	attn_threshold	img_attn_threshold	n_img_tokens	eval_concept	prompt_file	family_config	target_concepts_pipe	anchor_concepts_pipe	rationale
violence	hyb_tight_img_cas0.4_ss19.5_tt0.1_ia0.1_nt4	hybrid	0.4	19.5	0.1	0.1	4	violence	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/violence_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/violence/clip_grouped.pt	violence|bloody_scene|weapon|fight	peaceful_scene|calm_interaction	image-focused tight mask variant
violence	hyb_cas03_cas0.3_ss19.5_tt0.15_ia0.1_nt4	hybrid	0.3	19.5	0.15	0.1	4	violence	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/violence_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/violence/clip_grouped.pt	violence|bloody_scene|weapon|fight	peaceful_scene|calm_interaction	SD3 MJA retunes often liked lower CAS / tighter image mask
violence	ainp_ss15_cas0.4_ss1.5_tt0.1_ia0.3_nt4	anchor_inpaint	0.4	1.5	0.1	0.3	4	violence	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/violence_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/violence/clip_grouped.pt	violence|bloody_scene|weapon|fight	peaceful_scene|calm_interaction	SD3 anchor low-strength sanity
violence	ainp_ss25_cas0.4_ss2.5_tt0.1_ia0.3_nt4	anchor_inpaint	0.4	2.5	0.1	0.3	4	violence	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/violence_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/violence/clip_grouped.pt	violence|bloody_scene|weapon|fight	peaceful_scene|calm_interaction	SD3 anchor high-strength sanity
self-harm	hyb_ref_sd14_cas0.6_ss7.0_tt0.1_ia0.1_nt16	hybrid	0.6	7.0	0.1	0.1	16	self_harm	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/self-harm_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/self-harm/clip_grouped.pt	crying despair|hanging noose|self mutilation	wellness|recovery|supportive_therapy	direct SD1.4 best-config port
self-harm	hyb_lo_cas0.6_ss5.25_tt0.1_ia0.1_nt16	hybrid	0.6	5.25	0.1	0.1	16	self_harm	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/self-harm_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/self-harm/clip_grouped.pt	crying despair|hanging noose|self mutilation	wellness|recovery|supportive_therapy	lower SD3 strength around SD1.4 reference
self-harm	hyb_hi_cas0.6_ss8.75_tt0.1_ia0.1_nt16	hybrid	0.6	8.75	0.1	0.1	16	self_harm	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/self-harm_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/self-harm/clip_grouped.pt	crying despair|hanging noose|self mutilation	wellness|recovery|supportive_therapy	higher SD3 strength if SD3 needs stronger velocity correction
self-harm	hyb_tight_img_cas0.6_ss7.0_tt0.1_ia0.1_nt16	hybrid	0.6	7.0	0.1	0.1	16	self_harm	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/self-harm_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/self-harm/clip_grouped.pt	crying despair|hanging noose|self mutilation	wellness|recovery|supportive_therapy	image-focused tight mask variant
self-harm	hyb_cas04_cas0.4_ss7.0_tt0.1_ia0.1_nt16	hybrid	0.4	7.0	0.1	0.1	16	self_harm	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/self-harm_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/self-harm/clip_grouped.pt	crying despair|hanging noose|self mutilation	wellness|recovery|supportive_therapy	CAS sensitivity check
self-harm	ainp_ss15_cas0.6_ss1.5_tt0.1_ia0.3_nt16	anchor_inpaint	0.6	1.5	0.1	0.3	16	self_harm	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/self-harm_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/self-harm/clip_grouped.pt	crying despair|hanging noose|self mutilation	wellness|recovery|supportive_therapy	SD3 anchor low-strength sanity
self-harm	ainp_ss25_cas0.6_ss2.5_tt0.1_ia0.3_nt16	anchor_inpaint	0.6	2.5	0.1	0.3	16	self_harm	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/self-harm_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/self-harm/clip_grouped.pt	crying despair|hanging noose|self mutilation	wellness|recovery|supportive_therapy	SD3 anchor high-strength sanity
shocking	hyb_ref_sd14_cas0.6_ss22.0_tt0.15_ia0.1_nt4	hybrid	0.6	22.0	0.15	0.1	4	shocking	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/shocking_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/shocking/clip_grouped.pt	gore|body_horror|mutilation|corpse	peaceful scene|beautiful art|healthy body	direct SD1.4 best-config port
shocking	hyb_lo_cas0.6_ss16.5_tt0.15_ia0.1_nt4	hybrid	0.6	16.5	0.15	0.1	4	shocking	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/shocking_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/shocking/clip_grouped.pt	gore|body_horror|mutilation|corpse	peaceful scene|beautiful art|healthy body	lower SD3 strength around SD1.4 reference
shocking	hyb_hi_cas0.6_ss27.5_tt0.15_ia0.1_nt4	hybrid	0.6	27.5	0.15	0.1	4	shocking	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/shocking_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/shocking/clip_grouped.pt	gore|body_horror|mutilation|corpse	peaceful scene|beautiful art|healthy body	higher SD3 strength if SD3 needs stronger velocity correction
shocking	hyb_tight_img_cas0.6_ss22.0_tt0.15_ia0.1_nt4	hybrid	0.6	22.0	0.15	0.1	4	shocking	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/shocking_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/shocking/clip_grouped.pt	gore|body_horror|mutilation|corpse	peaceful scene|beautiful art|healthy body	image-focused tight mask variant
shocking	hyb_cas03_cas0.3_ss22.0_tt0.15_ia0.1_nt4	hybrid	0.3	22.0	0.15	0.1	4	shocking	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/shocking_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/shocking/clip_grouped.pt	gore|body_horror|mutilation|corpse	peaceful scene|beautiful art|healthy body	SD3 MJA retunes often liked lower CAS / tighter image mask
shocking	ainp_ss15_cas0.6_ss1.5_tt0.1_ia0.3_nt4	anchor_inpaint	0.6	1.5	0.1	0.3	4	shocking	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/shocking_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/shocking/clip_grouped.pt	gore|body_horror|mutilation|corpse	peaceful scene|beautiful art|healthy body	SD3 anchor low-strength sanity
shocking	ainp_ss25_cas0.6_ss2.5_tt0.1_ia0.3_nt4	anchor_inpaint	0.6	2.5	0.1	0.3	4	shocking	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/shocking_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/shocking/clip_grouped.pt	gore|body_horror|mutilation|corpse	peaceful scene|beautiful art|healthy body	SD3 anchor high-strength sanity
illegal_activity	hyb_ref_sd14_cas0.6_ss20.0_tt0.1_ia0.5_nt4	hybrid	0.6	20.0	0.1	0.5	4	illegal	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/illegal_activity_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/illegal_activity/clip_grouped.pt	drugs|crime|contraband|illegal|activity	legal_activity|daily_life	direct SD1.4 best-config port
illegal_activity	hyb_lo_cas0.6_ss15.0_tt0.1_ia0.5_nt4	hybrid	0.6	15.0	0.1	0.5	4	illegal	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/illegal_activity_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/illegal_activity/clip_grouped.pt	drugs|crime|contraband|illegal|activity	legal_activity|daily_life	lower SD3 strength around SD1.4 reference
illegal_activity	hyb_hi_cas0.6_ss25.0_tt0.1_ia0.5_nt4	hybrid	0.6	25.0	0.1	0.5	4	illegal	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/illegal_activity_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/illegal_activity/clip_grouped.pt	drugs|crime|contraband|illegal|activity	legal_activity|daily_life	higher SD3 strength if SD3 needs stronger velocity correction
illegal_activity	hyb_tight_img_cas0.6_ss20.0_tt0.1_ia0.1_nt4	hybrid	0.6	20.0	0.1	0.1	4	illegal	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/illegal_activity_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/illegal_activity/clip_grouped.pt	drugs|crime|contraband|illegal|activity	legal_activity|daily_life	image-focused tight mask variant
illegal_activity	hyb_cas03_cas0.3_ss20.0_tt0.15_ia0.1_nt4	hybrid	0.3	20.0	0.15	0.1	4	illegal	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/illegal_activity_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/illegal_activity/clip_grouped.pt	drugs|crime|contraband|illegal|activity	legal_activity|daily_life	SD3 MJA retunes often liked lower CAS / tighter image mask
illegal_activity	ainp_ss15_cas0.6_ss1.5_tt0.1_ia0.4_nt4	anchor_inpaint	0.6	1.5	0.1	0.4	4	illegal	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/illegal_activity_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/illegal_activity/clip_grouped.pt	drugs|crime|contraband|illegal|activity	legal_activity|daily_life	SD3 anchor low-strength sanity
illegal_activity	ainp_ss25_cas0.6_ss2.5_tt0.1_ia0.4_nt4	anchor_inpaint	0.6	2.5	0.1	0.4	4	illegal	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/illegal_activity_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/illegal_activity/clip_grouped.pt	drugs|crime|contraband|illegal|activity	legal_activity|daily_life	SD3 anchor high-strength sanity
harassment	hyb_ref_sd14_cas0.5_ss25.0_tt0.1_ia0.5_nt4	hybrid	0.5	25.0	0.1	0.5	4	harassment	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/harassment_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/harassment/clip_grouped.pt	bullying|mockery|intimidation|abuse	respectful portrait|friendly interaction|dignified person	direct SD1.4 best-config port
harassment	hyb_lo_cas0.5_ss18.75_tt0.1_ia0.5_nt4	hybrid	0.5	18.75	0.1	0.5	4	harassment	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/harassment_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/harassment/clip_grouped.pt	bullying|mockery|intimidation|abuse	respectful portrait|friendly interaction|dignified person	lower SD3 strength around SD1.4 reference
harassment	hyb_hi_cas0.5_ss31.25_tt0.1_ia0.5_nt4	hybrid	0.5	31.25	0.1	0.5	4	harassment	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/harassment_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/harassment/clip_grouped.pt	bullying|mockery|intimidation|abuse	respectful portrait|friendly interaction|dignified person	higher SD3 strength if SD3 needs stronger velocity correction
harassment	hyb_tight_img_cas0.5_ss25.0_tt0.1_ia0.1_nt4	hybrid	0.5	25.0	0.1	0.1	4	harassment	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/harassment_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/harassment/clip_grouped.pt	bullying|mockery|intimidation|abuse	respectful portrait|friendly interaction|dignified person	image-focused tight mask variant
harassment	hyb_cas04_cas0.4_ss25.0_tt0.1_ia0.3_nt4	hybrid	0.4	25.0	0.1	0.3	4	harassment	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/harassment_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/harassment/clip_grouped.pt	bullying|mockery|intimidation|abuse	respectful portrait|friendly interaction|dignified person	nearby lower CAS for softer concept
harassment	ainp_ss15_cas0.5_ss1.5_tt0.1_ia0.4_nt4	anchor_inpaint	0.5	1.5	0.1	0.4	4	harassment	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/harassment_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/harassment/clip_grouped.pt	bullying|mockery|intimidation|abuse	respectful portrait|friendly interaction|dignified person	SD3 anchor low-strength sanity
harassment	ainp_ss25_cas0.5_ss2.5_tt0.1_ia0.4_nt4	anchor_inpaint	0.5	2.5	0.1	0.4	4	harassment	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/harassment_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/harassment/clip_grouped.pt	bullying|mockery|intimidation|abuse	respectful portrait|friendly interaction|dignified person	SD3 anchor high-strength sanity
hate	hyb_ref_sd14_cas0.6_ss28.0_tt0.25_ia0.05_nt16	hybrid	0.6	28.0	0.25	0.05	16	hate	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/hate_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/hate/clip_grouped.pt	white supremacy|racial slur|hateful gathering	respect|harmony|peaceful gathering	direct SD1.4 best-config port
hate	hyb_lo_cas0.6_ss21.0_tt0.25_ia0.05_nt16	hybrid	0.6	21.0	0.25	0.05	16	hate	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/hate_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/hate/clip_grouped.pt	white supremacy|racial slur|hateful gathering	respect|harmony|peaceful gathering	lower SD3 strength around SD1.4 reference
hate	hyb_hi_cas0.6_ss35.0_tt0.25_ia0.05_nt16	hybrid	0.6	35.0	0.25	0.05	16	hate	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/hate_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/hate/clip_grouped.pt	white supremacy|racial slur|hateful gathering	respect|harmony|peaceful gathering	higher SD3 strength if SD3 needs stronger velocity correction
hate	hyb_tight_img_cas0.6_ss28.0_tt0.25_ia0.05_nt16	hybrid	0.6	28.0	0.25	0.05	16	hate	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/hate_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/hate/clip_grouped.pt	white supremacy|racial slur|hateful gathering	respect|harmony|peaceful gathering	image-focused tight mask variant
hate	hyb_cas04_cas0.4_ss28.0_tt0.25_ia0.05_nt16	hybrid	0.4	28.0	0.25	0.05	16	hate	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/hate_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/hate/clip_grouped.pt	white supremacy|racial slur|hateful gathering	respect|harmony|peaceful gathering	CAS sensitivity check
hate	ainp_ss15_cas0.6_ss1.5_tt0.1_ia0.3_nt16	anchor_inpaint	0.6	1.5	0.1	0.3	16	hate	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/hate_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/hate/clip_grouped.pt	white supremacy|racial slur|hateful gathering	respect|harmony|peaceful gathering	SD3 anchor low-strength sanity
hate	ainp_ss25_cas0.6_ss2.5_tt0.1_ia0.3_nt16	anchor_inpaint	0.6	2.5	0.1	0.3	16	hate	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_sweep60/hate_sweep.txt	/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/hate/clip_grouped.pt	white supremacy|racial slur|hateful gathering	respect|harmony|peaceful gathering	SD3 anchor high-strength sanity
